epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5818,1.45957,2.56695,0.00348,0.12734,0.69714,0.26335,0.1658,1.25519,2.85428,0.00387,0.000330383,0.000330383,0.067292
2,78.2678,1.27695,1.72358,0.0031,0.46279,0.52885,0.47098,0.3289,1.03554,1.59253,0.00351,0.000650575,0.000650575,0.0342789
3,117.62,1.19901,1.45777,0.00288,0.48025,0.59196,0.51687,0.3601,1.0088,1.4215,0.00324,0.000957567,0.000957567,0.00125255
4,156.065,1.14497,1.33831,0.00272,0.50321,0.58532,0.54464,0.37116,1.0724,1.36639,0.00367,0.0009406,0.0009406,0.0009406
5,194.546,1.13245,1.22587,0.00267,0.68682,0.65878,0.6948,0.48331,1.04258,1.07502,0.00332,0.0009208,0.0009208,0.0009208
6,235.39,1.10506,1.12289,0.00255,0.65076,0.703,0.7044,0.51137,0.87517,1.14515,0.00289,0.000901,0.000901,0.000901
7,274.658,1.10225,1.10217,0.00258,0.68959,0.69737,0.73756,0.56545,0.8264,0.96954,0.00261,0.0008812,0.0008812,0.0008812
8,309.608,1.06635,1.03735,0.00249,0.68393,0.71802,0.76479,0.55472,1.01629,0.94282,0.00311,0.0008614,0.0008614,0.0008614
9,344.712,1.06033,1.00048,0.00241,0.69185,0.76828,0.79371,0.60254,0.88867,0.8491,0.0027,0.0008416,0.0008416,0.0008416
10,382.98,1.05252,0.94612,0.00235,0.69635,0.72323,0.76097,0.58666,0.84302,0.8959,0.00258,0.0008218,0.0008218,0.0008218
11,417.63,1.07207,0.94742,0.00246,0.67376,0.6678,0.71629,0.47446,1.22307,1.06587,0.00357,0.000802,0.000802,0.000802
12,450.511,1.09201,0.93987,0.00244,0.76821,0.76894,0.82989,0.65239,0.80891,0.71176,0.00243,0.0007822,0.0007822,0.0007822
13,486.659,0.99519,0.88626,0.00231,0.70604,0.72226,0.77074,0.6076,0.79063,0.82918,0.00237,0.0007624,0.0007624,0.0007624
14,523.198,1.00518,0.90933,0.00226,0.73723,0.73352,0.79055,0.60718,0.84795,0.77237,0.00261,0.0007426,0.0007426,0.0007426
15,562.084,0.9973,0.84419,0.00226,0.7102,0.73916,0.77962,0.57497,0.95987,0.85328,0.00301,0.0007228,0.0007228,0.0007228
16,601.801,0.99117,0.81579,0.00222,0.72341,0.78496,0.81102,0.5948,0.94949,0.76855,0.00288,0.000703,0.000703,0.000703
17,640.202,0.97357,0.78962,0.00219,0.75813,0.79081,0.82787,0.65271,0.78854,0.73968,0.00232,0.0006832,0.0006832,0.0006832
18,683.898,0.97556,0.8117,0.00213,0.73155,0.82399,0.83708,0.65468,0.80393,0.72082,0.00244,0.0006634,0.0006634,0.0006634
19,726.323,0.97385,0.76779,0.00211,0.7649,0.81288,0.85846,0.67429,0.84422,0.73877,0.00249,0.0006436,0.0006436,0.0006436
20,769.014,1.0016,0.78872,0.00227,0.79668,0.79669,0.86947,0.68037,0.80384,0.64811,0.00238,0.0006238,0.0006238,0.0006238
21,803.467,0.94963,0.75922,0.00209,0.79585,0.81394,0.86934,0.68989,0.76706,0.66661,0.00227,0.000604,0.000604,0.000604
22,842.839,0.94982,0.75145,0.00211,0.8078,0.81462,0.8714,0.70552,0.7277,0.61222,0.00219,0.0005842,0.0005842,0.0005842
23,885.041,0.91966,0.70255,0.00201,0.76598,0.82848,0.86169,0.67609,0.76246,0.64496,0.00233,0.0005644,0.0005644,0.0005644
24,926.574,0.95416,0.73537,0.00212,0.81995,0.81682,0.88863,0.71187,0.75063,0.59938,0.0022,0.0005446,0.0005446,0.0005446
25,967.223,0.9313,0.70798,0.00204,0.76625,0.79253,0.84463,0.68442,0.72945,0.70042,0.00213,0.0005248,0.0005248,0.0005248
